,1. open,2. high,3. low,4. close,5. volume
2020-01-06 08:00:00,276.3090,276.8460,276.1450,276.5130,7070
2020-01-06 08:05:00,276.4220,276.5650,276.2860,276.5040,1300
2020-01-06 08:10:00,276.3560,276.4990,276.2200,276.4380,1749
2020-01-06 08:15:00,276.1970,276.3400,276.0610,276.2790,175
2020-01-06 08:25:00,276.4500,276.5930,276.3140,276.5320,500
2020-01-06 08:30:00,276.3090,276.4520,276.1740,276.3910,100
2020-01-06 08:35:00,276.3190,276.4620,276.1830,276.4000,700
2020-01-06 08:45:00,276.3750,276.5180,276.1270,276.3440,2300
2020-01-06 08:55:00,276.2620,276.4050,276.1270,276.3440,200
2020-01-06 09:00:00,276.3940,276.5370,276.2580,276.4750,500
2020-01-06 09:10:00,276.4780,276.6210,276.3420,276.5600,300
2020-01-06 09:15:00,276.4310,276.5740,276.1450,276.3630,800
2020-01-06 09:20:00,276.2910,276.4340,276.1170,276.3350,204
2020-01-06 09:25:00,276.2440,276.3870,275.9210,276.1380,1513
2020-01-06 09:30:00,276.0660,276.8460,275.8640,276.7200,191148
2020-01-06 09:35:00,276.6600,276.9400,276.3800,276.8130,25954
2020-01-06 09:40:00,276.7410,277.0370,276.5390,276.9440,18773
2020-01-06 09:45:00,276.8340,277.2700,276.6420,277.1040,35345
2020-01-06 09:50:00,277.0690,277.3150,276.7920,277.0100,29186
2020-01-06 09:55:00,276.9190,277.2970,276.6330,277.1350,60542
2020-01-06 10:00:00,277.0780,277.2970,276.8390,277.1590,16984
2020-01-06 10:05:00,277.1200,277.2680,276.8390,277.1410,24655
2020-01-06 10:10:00,277.1110,277.4330,276.9700,277.2910,12839
2020-01-06 10:15:00,277.2380,277.4790,277.0170,277.4170,11143
2020-01-06 10:20:00,277.3030,277.6630,277.1530,277.4560,12502
2020-01-06 10:25:00,277.3780,277.6200,277.2310,277.5540,16785
2020-01-06 10:30:00,277.4910,277.6530,277.1760,277.4230,8996
2020-01-06 10:35:00,277.3220,277.5500,277.1760,277.4600,8861
2020-01-06 10:40:00,277.3780,277.8600,277.2230,277.7980,11634
2020-01-06 10:45:00,277.7160,277.9350,277.5230,277.8530,22889
2020-01-06 10:50:00,277.7380,277.9550,277.5890,277.8730,14492
2020-01-06 10:55:00,277.8190,277.9630,277.4480,277.6760,41751
2020-01-06 11:00:00,277.6130,277.7840,277.3450,277.6260,26916
2020-01-06 11:05:00,277.5560,277.8500,277.4200,277.7700,12015
2020-01-06 11:10:00,277.7020,277.9720,277.5650,277.8820,10918
2020-01-06 11:15:00,277.7630,277.9720,277.5230,277.7890,14081
2020-01-06 11:20:00,277.6600,277.9350,277.4760,277.7420,7515
2020-01-06 11:25:00,277.6500,277.8130,277.4370,277.7510,15505
2020-01-06 11:30:00,277.6500,278.0120,277.5140,277.8440,9981
2020-01-06 11:35:00,277.7300,277.9220,277.5510,277.7770,5991
2020-01-06 11:40:00,277.7250,277.9530,277.5630,277.7980,112403
2020-01-06 11:45:00,277.7160,277.9160,277.4950,277.7140,9535
2020-01-06 11:50:00,277.6310,277.8130,277.4290,277.6480,13446
2020-01-06 11:55:00,277.5660,277.8180,277.4300,277.7230,7170
2020-01-06 12:00:00,277.6350,277.7840,277.3960,277.6390,30267
2020-01-06 12:05:00,277.5470,277.8310,277.4110,277.7700,16174
2020-01-06 12:10:00,277.7060,277.9110,277.4430,277.6620,8581
2020-01-06 12:15:00,277.5660,277.7840,277.4130,277.6850,9407
2020-01-06 12:20:00,277.5660,277.8070,277.4290,277.7320,24166
2020-01-06 12:25:00,277.6530,277.8220,277.4860,277.7300,11423
2020-01-06 12:30:00,277.6600,277.8600,277.5230,277.7790,10550
2020-01-06 12:35:00,277.7160,277.8630,277.4950,277.7140,7060
2020-01-06 12:40:00,277.6500,277.9720,277.5140,277.9100,8659
2020-01-06 12:45:00,277.8280,277.9720,277.5890,277.8070,11167
2020-01-06 12:50:00,277.7530,277.9090,277.5090,277.7420,5575
2020-01-06 12:55:00,277.6900,277.8970,277.5230,277.8350,4401
2020-01-06 13:00:00,277.7440,277.9630,277.5790,277.9010,6223
2020-01-06 13:05:00,277.8100,278.1690,277.6730,278.0420,31131
2020-01-06 13:10:00,277.9600,278.1880,277.8230,278.1220,19031
2020-01-06 13:15:00,278.0440,278.2350,277.8700,278.0890,49593
2020-01-06 13:20:00,278.0210,278.2070,277.8230,278.1390,13329
2020-01-06 13:25:00,278.0530,278.2350,277.9070,278.1730,28162
2020-01-06 13:30:00,278.0910,278.2630,277.9010,278.1360,8599
2020-01-06 13:35:00,278.0480,278.2630,277.8890,278.1540,40022
2020-01-06 13:40:00,278.0670,278.2350,277.9170,278.1490,8446
2020-01-06 13:45:00,278.0720,278.2940,277.9360,278.2110,14595
2020-01-06 13:50:00,278.1000,278.2720,277.9400,278.1830,18426
2020-01-06 13:55:00,278.0820,278.2350,277.8790,278.1350,14020
2020-01-06 14:00:00,278.0350,278.1780,277.7860,278.0890,16528
2020-01-06 14:05:00,278.0400,278.3000,277.9030,278.2340,9519
2020-01-06 14:10:00,278.1470,278.5160,278.0010,278.4260,16714
2020-01-06 14:15:00,278.3400,278.5440,278.1980,278.4550,18221
2020-01-06 14:20:00,278.3630,278.5780,278.1790,278.4260,9547
2020-01-06 14:25:00,278.3250,278.4690,278.1140,278.3790,8095
2020-01-06 14:30:00,278.3160,278.4780,278.0860,278.3130,11283
2020-01-06 14:35:00,278.2320,278.4040,278.0670,278.2860,6832
2020-01-06 14:40:00,278.2170,278.4060,278.0540,278.3090,8800
2020-01-06 14:45:00,278.2350,278.3850,278.0550,278.2930,4653
2020-01-06 14:50:00,278.2030,278.4240,278.0670,278.3180,6318
2020-01-06 14:55:00,278.2410,278.4220,278.0950,278.3420,5077
2020-01-06 15:00:00,278.2690,278.4690,278.1040,278.3230,10160
2020-01-06 15:05:00,278.2220,278.3940,278.0480,278.3230,12327
2020-01-06 15:10:00,278.2410,278.5820,278.0890,278.5020,19687
2020-01-06 15:15:00,278.4380,278.6100,278.2170,278.4360,9255
2020-01-06 15:20:00,278.3530,278.5560,278.1790,278.4920,20231
2020-01-06 15:25:00,278.4160,278.5730,278.1700,278.4170,13568
2020-01-06 15:30:00,278.3350,278.4790,278.0760,278.3140,15319
2020-01-06 15:35:00,278.2500,278.4690,278.0760,278.3980,18456
2020-01-06 15:40:00,278.3440,278.5440,278.1460,278.4540,14656
2020-01-06 15:45:00,278.3820,278.7380,278.2070,278.6330,40677
2020-01-06 15:50:00,278.5970,278.9060,278.4420,278.7920,38894
2020-01-06 15:55:00,278.7470,279.0230,278.4880,278.9050,45581
2020-01-06 16:00:00,278.8130,279.1920,278.6760,279.0640,18994
2020-01-06 16:05:00,278.9440,279.0880,278.6850,278.9050,51190
2020-01-06 16:10:00,278.6720,278.8160,278.4420,278.6610,547
2020-01-06 16:15:00,278.6720,279.0980,278.5070,278.9140,23570
2020-01-06 16:25:00,279.0570,279.2010,278.5630,278.7830,312
2020-01-06 16:30:00,278.6350,278.7790,278.4420,278.6610,3571
2020-01-06 18:05:00,278.6250,278.7700,278.4880,278.7080,200
2020-01-06 18:55:00,278.4660,278.6100,278.3290,278.5480,120
2020-01-06 19:00:00,278.5500,278.6940,278.4130,278.6330,358
2020-01-06 19:25:00,278.6440,278.7880,278.5070,278.7270,849
2020-01-06 19:35:00,278.7850,278.9290,278.6480,278.8670,200
2020-01-06 19:45:00,278.9540,279.1450,278.8160,279.0550,1700
