;ADS_Index
1962:05:18;-0.380354
1962:05:19;-0.399076
1962:05:20;-0.416303
1962:05:21;-0.432042
1962:05:22;-0.446299
1962:05:23;-0.45908
1962:05:24;-0.470389
1962:05:25;-0.480232
1962:05:26;-0.488611
1962:05:27;-0.495531
1962:05:28;-0.500993
1962:05:29;-0.505001
1962:05:30;-0.507555
1962:05:31;-0.508656
1962:06:01;-0.508306
1962:06:02;-0.506716
1962:06:03;-0.503886
1962:06:04;-0.499815
1962:06:05;-0.494501
1962:06:06;-0.487942
1962:06:07;-0.480136
1962:06:08;-0.47108
1962:06:09;-0.460769
1962:06:10;-0.449201
1962:06:11;-0.43637
1962:06:12;-0.422272
1962:06:13;-0.406901
1962:06:14;-0.39025
1962:06:15;-0.372315
1962:06:16;-0.353086
1962:06:17;-0.332558
1962:06:18;-0.310722
1962:06:19;-0.287569
1962:06:20;-0.263091
1962:06:21;-0.237278
1962:06:22;-0.21012
1962:06:23;-0.181605
1962:06:24;-0.151724
1962:06:25;-0.120465
1962:06:26;-0.0878145
1962:06:27;-0.0537608
1962:06:28;-0.0182903
1962:06:29;0.0186107
1962:06:30;0.0569567
1962:07:01;0.0967627
1962:07:02;0.134536
1962:07:03;0.170291
1962:07:04;0.204042
1962:07:05;0.235802
1962:07:06;0.265583
1962:07:07;0.293397
1962:07:08;0.319255
1962:07:09;0.343167
1962:07:10;0.365143
1962:07:11;0.38519
1962:07:12;0.403317
1962:07:13;0.419531
1962:07:14;0.433838
1962:07:15;0.446243
1962:07:16;0.456752
1962:07:17;0.465369
1962:07:18;0.472096
1962:07:19;0.476937
1962:07:20;0.479894
1962:07:21;0.480967
1962:07:22;0.480158
1962:07:23;0.477465
1962:07:24;0.472887
1962:07:25;0.466424
1962:07:26;0.458072
1962:07:27;0.447828
1962:07:28;0.435688
1962:07:29;0.421647
1962:07:30;0.405701
1962:07:31;0.387842
1962:08:01;0.368064
1962:08:02;0.349398
1962:08:03;0.331836
1962:08:04;0.315373
1962:08:05;0.3
1962:08:06;0.285714
1962:08:07;0.272507
1962:08:08;0.260374
1962:08:09;0.249312
1962:08:10;0.239315
1962:08:11;0.23038
1962:08:12;0.222504
1962:08:13;0.215682
1962:08:14;0.209913
1962:08:15;0.205195
1962:08:16;0.201525
1962:08:17;0.198901
1962:08:18;0.197324
1962:08:19;0.196792
1962:08:20;0.197306
1962:08:21;0.198864
1962:08:22;0.201469
1962:08:23;0.205121
1962:08:24;0.209821
1962:08:25;0.215571
1962:08:26;0.222374
1962:08:27;0.230232
1962:08:28;0.239148
1962:08:29;0.249126
1962:08:30;0.260169
1962:08:31;0.272282
1962:09:01;0.28547
1962:09:02;0.297511
1962:09:03;0.308409
1962:09:04;0.31817
1962:09:05;0.326796
1962:09:06;0.334291
1962:09:07;0.340658
1962:09:08;0.345899
1962:09:09;0.350017
1962:09:10;0.353014
1962:09:11;0.354889
1962:09:12;0.355644
1962:09:13;0.35528
1962:09:14;0.353796
1962:09:15;0.351192
1962:09:16;0.347466
1962:09:17;0.342617
1962:09:18;0.336643
1962:09:19;0.329543
1962:09:20;0.321312
1962:09:21;0.311949
1962:09:22;0.301448
1962:09:23;0.289807
1962:09:24;0.27702
1962:09:25;0.263084
1962:09:26;0.247991
1962:09:27;0.231736
1962:09:28;0.214314
1962:09:29;0.195717
1962:09:30;0.175938
1962:10:01;0.154968
1962:10:02;0.134838
1962:10:03;0.115538
1962:10:04;0.0970613
1962:10:05;0.0794005
1962:10:06;0.0625488
1962:10:07;0.0464996
1962:10:08;0.0312466
1962:10:09;0.0167839
1962:10:10;0.0031058
1962:10:11;-0.00979297
1962:10:12;-0.0219175
1962:10:13;-0.0332724
1962:10:14;-0.0438623
1962:10:15;-0.0536912
1962:10:16;-0.0627629
1962:10:17;-0.0710811
1962:10:18;-0.0786488
1962:10:19;-0.0854692
1962:10:20;-0.0915448
1962:10:21;-0.0968781
1962:10:22;-0.101471
1962:10:23;-0.105325
1962:10:24;-0.108443
1962:10:25;-0.110825
1962:10:26;-0.112471
1962:10:27;-0.113384
1962:10:28;-0.113563
1962:10:29;-0.113008
1962:10:30;-0.111719
1962:10:31;-0.109695
1962:11:01;-0.106936
1962:11:02;-0.104623
1962:11:03;-0.102754
1962:11:04;-0.10133
1962:11:05;-0.100349
1962:11:06;-0.0998109
1962:11:07;-0.0997158
1962:11:08;-0.100064
1962:11:09;-0.100854
1962:11:10;-0.102088
1962:11:11;-0.103766
1962:11:12;-0.105888
1962:11:13;-0.108455
1962:11:14;-0.111469
1962:11:15;-0.11493
1962:11:16;-0.118839
1962:11:17;-0.123199
1962:11:18;-0.128011
1962:11:19;-0.133277
1962:11:20;-0.138999
1962:11:21;-0.145179
1962:11:22;-0.151819
1962:11:23;-0.158923
1962:11:24;-0.166492
1962:11:25;-0.174531
1962:11:26;-0.183041
1962:11:27;-0.192027
1962:11:28;-0.201492
1962:11:29;-0.211439
1962:11:30;-0.221872
1962:12:01;-0.232796
1962:12:02;-0.242603
1962:12:03;-0.251297
1962:12:04;-0.258881
1962:12:05;-0.265358
1962:12:06;-0.270731
1962:12:07;-0.275002
1962:12:08;-0.278173
1962:12:09;-0.280244
1962:12:10;-0.281217
1962:12:11;-0.281091
1962:12:12;-0.279868
1962:12:13;-0.277545
1962:12:14;-0.274124
1962:12:15;-0.269601
1962:12:16;-0.263976
1962:12:17;-0.257246
1962:12:18;-0.249409
1962:12:19;-0.240461
1962:12:20;-0.230399
1962:12:21;-0.21922
1962:12:22;-0.206918
1962:12:23;-0.193489
1962:12:24;-0.178927
1962:12:25;-0.163228
1962:12:26;-0.146385
1962:12:27;-0.128391
1962:12:28;-0.109239
1962:12:29;-0.0889219
1962:12:30;-0.0674318
1962:12:31;-0.0447603
1963:01:01;-0.0208985
1963:01:02;0.00265845
1963:01:03;0.0259198
1963:01:04;0.0488946
1963:01:05;0.0715917
1963:01:06;0.0940201
1963:01:07;0.116189
1963:01:08;0.138106
1963:01:09;0.15978
1963:01:10;0.18122
1963:01:11;0.202434
1963:01:12;0.22343
1963:01:13;0.244216
1963:01:14;0.264802
1963:01:15;0.285194
1963:01:16;0.3054
1963:01:17;0.325429
1963:01:18;0.345288
1963:01:19;0.364985
1963:01:20;0.384528
1963:01:21;0.403924
1963:01:22;0.423181
1963:01:23;0.442307
1963:01:24;0.461308
1963:01:25;0.480193
1963:01:26;0.498968
1963:01:27;0.517641
1963:01:28;0.53622
1963:01:29;0.554711
1963:01:30;0.573121
1963:01:31;0.591459
1963:02:01;0.60973
1963:02:02;0.626862
1963:02:03;0.642861
1963:02:04;0.657732
1963:02:05;0.671483
1963:02:06;0.684118
1963:02:07;0.695641
1963:02:08;0.706059
1963:02:09;0.715374
1963:02:10;0.723591
1963:02:11;0.730712
1963:02:12;0.73674
1963:02:13;0.741679
1963:02:14;0.745528
1963:02:15;0.748291
1963:02:16;0.749968
1963:02:17;0.75056
1963:02:18;0.750067
1963:02:19;0.748489
1963:02:20;0.745825
1963:02:21;0.742075
1963:02:22;0.737236
1963:02:23;0.731307
1963:02:24;0.724286
1963:02:25;0.716169
1963:02:26;0.706954
1963:02:27;0.696637
1963:02:28;0.685215
1963:03:01;0.672681
1963:03:02;0.661233
1963:03:03;0.650865
1963:03:04;0.641573
1963:03:05;0.633354
1963:03:06;0.626205
1963:03:07;0.620122
1963:03:08;0.615103
1963:03:09;0.611147
1963:03:10;0.608251
1963:03:11;0.606416
1963:03:12;0.605639
1963:03:13;0.605921
1963:03:14;0.607262
1963:03:15;0.609662
1963:03:16;0.613122
1963:03:17;0.617644
1963:03:18;0.623229
1963:03:19;0.62988
1963:03:20;0.637598
1963:03:21;0.646388
